EntryTime,ExitTime,Type,Strike,EntryPremium,ExitPremium,Contracts,Status,PnL,PnL%,Balance,Delta,Gamma,Theta
2025-10-09 14:30:00+00:00,2025-10-09 16:30:00+00:00,call,246,0.64,0.63,3,Loss_Trail,-3.56,-1.84,996.44,0.34,0.1296,-0.44
2025-10-09 16:30:00+00:00,2025-10-09 17:30:00+00:00,put,245,0.72,0.97,2,Win_Trail,49.33,34.11,1045.77,-0.43,0.1732,-0.56
2025-10-09 18:00:00+00:00,2025-10-09 18:45:00+00:00,put,244,0.53,0.35,3,Loss_Trail,-54.62,-34.28,991.15,-0.42,0.2293,-0.74
2025-10-09 18:45:00+00:00,2025-10-09 19:00:00+00:00,put,244,0.35,0.25,5,Loss_Trail,-49.38,-28.29,941.77,-0.37,0.2803,-0.91
2025-10-09 19:00:00+00:00,2025-10-09 19:15:00+00:00,put,244,0.25,0.12,7,Loss_SL,-92.74,-52.92,849.03,-0.32,0.2953,-0.96
2025-10-09 19:15:00+00:00,2025-10-09 19:30:00+00:00,put,244,0.12,0.03,14,Loss_SL,-129.09,-78.24,719.94,-0.2,0.2678,-0.87
2025-10-10 13:30:00+00:00,2025-10-10 16:45:00+00:00,put,246,0.97,5.87,1,Win_TP_Moon,489.63,502.73,1209.57,-0.42,0.1262,-0.41
2025-10-10 16:45:00+00:00,2025-10-10 17:15:00+00:00,put,239,0.4,0.25,6,Loss_Trail,-90.27,-37.37,1119.3,-0.3,0.1617,-0.5
2025-10-10 18:00:00+00:00,2025-10-10 19:45:00+00:00,put,240,0.46,2.2,4,EOD_Expire,697.06,382.39,1816.36,-0.39,0.2275,-0.71
2025-10-13 13:30:00+00:00,2025-10-13 14:00:00+00:00,call,243,0.79,1.04,4,Win_Trail,100.17,31.62,1916.53,0.38,0.1246,-0.41
2025-10-13 14:00:00+00:00,2025-10-13 14:15:00+00:00,call,243,1.04,0.65,3,Loss_Trail,-118.62,-37.93,1797.91,0.47,0.1353,-0.45
2025-10-13 14:15:00+00:00,2025-10-13 18:45:00+00:00,call,242,1.05,1.91,3,Win_Trail,259.12,82.26,2057.04,0.48,0.139,-0.46
2025-10-13 18:45:00+00:00,2025-10-13 19:30:00+00:00,call,245,0.15,0.12,27,Loss_Trail,-75.93,-18.66,1981.11,0.2,0.2083,-0.68
2025-10-14 13:30:00+00:00,2025-10-14 17:00:00+00:00,call,242,0.86,5.56,4,Win_TP_Moon,1880.57,545.99,3861.68,0.4,0.1272,-0.42
2025-10-14 18:00:00+00:00,2025-10-14 19:30:00+00:00,call,249,0.45,0.02,17,Loss_SL,-736.33,-95.36,3125.35,0.38,0.2189,-0.75
2025-10-15 13:30:00+00:00,2025-10-15 13:45:00+00:00,put,250,0.75,0.58,8,Loss_Trail,-132.03,-22.02,2993.32,-0.35,0.117,-0.39
2025-10-15 13:45:00+00:00,2025-10-15 17:30:00+00:00,put,251,0.94,2.27,6,Win_Trail,795.27,140.5,3788.59,-0.42,0.1255,-0.42
2025-10-15 18:00:00+00:00,2025-10-15 18:15:00+00:00,call,250,0.41,0.33,18,Loss_Trail,-151.97,-20.62,3636.62,0.35,0.2127,-0.74
